Category,Category Status,Question,Question Status,Answer,Last Modified Date,Web Address,Display Text
Bangor-South Haven Heritage Water Trail,Published,"What about jet skiers, jet boats, etc.?",Published,<p>Lack of open water and the risk of damage due to submerged logs should limit use of motorized craft. With the wide-open lake in close proximity and the limited width of the pathway should naturally discourage use of these types of craft.</p>,01/09/2021 18:43:25,,
Bangor-South Haven Heritage Water Trail,Published,Will paddlers be allowed to camp and build campfires along the river?,Published,<p>B/SH HWTA&rsquo;s material will specify &quot;No Camping and No Campfires&quot; along the river. It will also be stated that no state or national forest land adjoins the river.</p>,01/09/2021 18:43:31,,
Bangor-South Haven Heritage Water Trail,Published,How do I volunteer?,Published,"<p>We&rsquo;re always looking for volunteers to help with a variety of projects. We host regular workdays to help keep the river open to paddlers.</p><p>If you&rsquo;d like to be added to the workday mailing list, please <a class=&#34Hyperlink&#34 href=&#34mailto:johnmitchell231@bciwildblue.com&#34 target=&#34_self&#34>contact John Mitchell by email</a>, or 269-637-6468.&nbsp; Volunteers do a lot of &rsquo;lopping&rsquo; and trimming of branches and growth that interferes with the paddle pathway. Experienced &quot;river workers&quot; are also encouraged to serve as a Team Leader for a day.</p>",01/09/2021 18:44:09,,
Bangor-South Haven Heritage Water Trail,Published,You clear the whole river?,Published,<p>B/SH HWTA does not &rsquo;clear&rsquo; the river from bank to bank. A pathway is &rsquo;cut and trimmed&rsquo; along the route. B/SH HWTA leaders were trained by MDNR persons to cut a 3- to 4-foot pathway wide enough for a canoe or kayak to paddle through. The training made sure B/SH HWTA maintains the fish habitat that exists along the route. The training also taught B/SH HWTA leaders how and where to cut a pathway without causing erosion on either side of the bank.</p>,01/09/2021 18:44:27,,
Bangor-South Haven Heritage Water Trail,Published,Where do I rent a canoe or a kayak?,Published,<p>B/SH HWTA is not a rental group. The best option would be to contact Outpost Sports in South Haven 269-637-5555 or Running Rivers Kayak Rentals in Douglas 269-673-3698.</p>,01/09/2021 18:44:43,,
Adult Recovery Court,Published,What is a Recovery Court?,Published,"<p>A Recovery Court is a collaborative effort between the Criminal Justice system and Community Mental Health that strives to improve the quality of life for the individual, increase public safety, and reduce costs for the community.</p><p><a href=&#34/DocumentCenter/View/1982&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Adult Recovery Court Information Sheet - PDF</a></p>",07/29/2021 11:15:13,,
Adult Recovery Court,Published,Who is eligible for the Recovery Court?,Published,<ul><li>Participants must be a Van Buren County resident</li><li>Must have pending misdemeanor or felony charges</li><li>Assessed as having a persistent and serious mental illness or developmental disability</li><li>The defendant may not have a history of violent offenses</li></ul>,03/05/2021 10:00:25,,
Adult Recovery Court,Published,What is the structure of the Recovery Court?,Published,"<p>The Van Buren County Recovery Court is a 12- to 24- month Program that involves intensive mental health and substance use disorder treatment, treatment planning, case management, court review hearings, substance abuse testing, and referrals to ancillary service agencies.</p>",01/10/2021 10:08:14,,
Adult Recovery Court,Published,Why participate in Adult Recovery Court?,Published,"<ul><li>Assistance with medication stabilization and treatment for your mental illness and if needed treatment for your substance use disorder</li><li>Continuous support through group attendance, court appearances and probation reporting</li><li>Possible charge reduction or case dismissal</li><li>Possible reduced jail or no jail</li></ul>",01/10/2021 10:08:34,,
Adult Recovery Court,Published,How do I get started?,Published,<p>Potential participants may be identified by various sources including:</p><ul><li>Defense attorneys</li><li>Family members</li><li>Jail staff</li><li>Judges</li><li>Law enforcement</li><li>Prosecutors</li><li>Treatment providers</li></ul>,01/10/2021 10:09:18,,
Adult Recovery Court,Published,Whom should I contact with questions?,Published,<p>Questions may be directed to Specialty Court:</p><ul><li>Phone: 269-657-8200</li><li><a href=&#34mailto:specialtycourts@vbco.org&#34>Email Specialty Courts</a></li></ul><p>To get started with Recovery Court please complete the <a href=&#34/DocumentCenter/View/369/Adult-Recover-Court-Eligibility-Determination-VBC-0273-PDF&#34 rel=&#34noopener noreferrer&#34 target=&#34_blank&#34>Adult Recover Court Eligibility Determination (VBC-0273) screening form (PDF)</a>.</p>,01/10/2021 10:13:13,,
Family Recovery Court,Published,What is a Recovery Court?,Published,"<p>A Recovery Court is a collaborative effort between the Criminal Justice system and Community Mental Health that strives to improve the quality of life for the individual, increase public safety, and reduce costs for the community.</p>",01/10/2021 10:17:35,,
Family Recovery Court,Published,Who is eligible for the Recovery Court?,Published,"<ul><li>Clinically assessed as having a serious emotional disturbance or developmental disability</li><li>Juvenile&rsquo;s parent/guardian must agree in writing to participate and cooperate with the program</li><li>Juveniles ages 10 to 16 who are considered non-violent offenders, with pending misdemeanor or felony charges (Some violent offenses will be eligible with the consent of the victim and the approval of the prosecuting attorney)</li><li>Van Buren County resident</li></ul>",01/10/2021 10:18:11,,
Family Recovery Court,Published,What is the structure of Family Recovery Court?,Published,<p>The Van Buren County Recovery Court is a 12- to 15-month program that involves:</p><ul><li>Case management</li><li>Court review hearings</li><li>Family therapy</li><li>Referrals to ancillary service agencies</li><li>Intensive treatment</li><li>Medication review</li><li>Treatment planning</li><li>Wraparound services</li></ul>,01/26/2021 08:51:35,,
Family Recovery Court,Published,Why participate in Family Recovery Court?,Published,<ul><li>Incentives for positive behavior</li><li>Mental health treatment</li><li>Possible charge reduction or dismissal of case</li><li>Support from Recovery Court team</li></ul>,01/10/2021 10:19:15,,
Family Recovery Court,Published,How do I get started?,Published,<p>Potential participants may be identified by various sources including:</p><ul><li>Defense attorneys</li><li>Family members</li><li>Jail staff</li><li>Judges</li><li>Law enforcement</li><li>Prosecutors</li><li>Treatment providers</li></ul>,01/10/2021 10:19:59,,
Family Recovery Court,Published,Whom should I contact with questions?,Published,<p>Questions may be directed to Specialty Court:</p><ul><li>Phone: 269-657-8200</li><li><a href=&#34mailto:specialtycourts@vbco.org&#34>Email Specialty Courts</a></li></ul><p>To get started with Recovery Court please complete the <a href=&#34/DocumentCenter/View/374/Family-Recovery-Screening-Form-DOCX&#34 rel=&#34noopener noreferrer&#34 target=&#34_blank&#34>Family Recovery Screening Form screening form (DOCX)</a>.</p><p><a href=&#34/DocumentCenter/View/1979&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Family Recovery Court Information Sheet - PDF</a></p>,07/29/2021 11:18:00,,
Family Reunification Court,Published,What is Family Reunification Court?,Draft,"<p>The Van Buren County Family Reunification Court (<abbr>FRC</abbr>) is a voluntary, intensive treatment program for child welfare involved parents with substance abuse problems and their children.</p><p>The purpose of the <abbr>FRC</abbr> is to protect the safety and welfare of children while giving parents the tools they need to become sober, responsible caregivers.</p><p><a href=&#34/DocumentCenter/View/1980&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Family Reunification Court Information Sheet - PDF</a></p>",08/05/2021 09:07:16,,
Family Reunification Court,Published,Who is eligible for Family Reunification Court?,Published,<p>See the <a href=&#34/DocumentCenter/View/375/Family-Reunification-Brochure-PDF&#34 rel=&#34noopener noreferrer&#34 target=&#34_blank&#34>Family Reunification Brochure (PDF)</a> for information.</p>,01/10/2021 10:25:19,,
Family Reunification Court,Published,What is the structure of Family Reunification Court?,Published,"<p>Family Reunification Court is designed to be a minimum of 9 months, 5 stage program, with increased activities in the early phases and decreased activities in the later phases. Random drug testing is required.</p>",08/05/2021 17:39:52,,
Family Reunification Court,Published,Why should I consider Family Reunification Court?,Published,"<p>Family Reunification Court serves an alternative method to make your family whole again. Though it is not required for someone to participate in, Family Reunification Court provides a better chance to reunite you with your loved ones. The program is intensive but it allows the participant to secure effective and efficient drug treatment while acquiring the knowledge to be a more succesful parent.</p>",01/10/2021 10:25:44,,
Family Reunification Court,Published,Whom should I contact with questions?,Draft,<p>Questions may be directed to the Specialty Court:</p><ul><li>Phone: 269-657-8200</li><li><a href=&#34mailto:specialtycourts@vanburencountymi.gov&#34>E-mail Specialty Courts</a></li></ul><p>To get started with Family Reunification Court please complete&nbsp; the Family Reunification DHHS Referral</p>,06/14/2021 14:51:08,,
Family Reunification Court,Published,Whom should I contact with questions?,Published,<p>Questions may be directed to Specialty Court:</p><ul><li>Phone: 269-657-8200</li><li><a href=&#34mailto:specialtycourts@vanburencountymi.gov&#34>E-mail Specialty Courts</a></li></ul><p>To get started with Family Reunification Court please complete <a href=&#34/DocumentCenter/View/1843&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Family Reunification Court DHHS Referral</a></p>,06/14/2021 14:57:52,,
Sobriety Court,Published,What is Sobriety Court?,Published,"<p>Sobriety Court is a program that provides specialized treatment and supervision services specific to operating while intoxicated (<abbr>OWI</abbr>) offenders, given that arrest data clearly indicates there is a need for the program.</p><p><a href=&#34/DocumentCenter/View/1981&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Sobriety Court Information Sheet - PDF</a></p>",07/29/2021 11:21:15,,
Sobriety Court,Published,"Who is eligible for the Recovery Court? ",Published,"<ul><li>Must be a Van Buren County resident, or a resident of a county contiguous to Van Buren County and have his/her principal place of full-time employment in Van Buren County</li><li>All defendants who request entrance into sobriety court must be charged with a misdemeanor or felony operating while intoxicated (<abbr>OWI</abbr>) 2nd or <abbr>OWI</abbr> 3rd offense. Defendants who plead guilty to an <abbr>OWI</abbr> 1st with extenuating circumstances (i.e. high blood alcohol content <abbr>BAC</abbr> or previous <abbr>OWI</abbr> 7 years or older) will be considered.</li><li>Must be a non-violent offender</li><li>Must be a U.S. Citizen or qualified alien</li><li>Pattern of substance abuse or dependency</li></ul>",01/10/2021 10:29:44,,
Sobriety Court,Published,What is the structure of Sobriety Court?,Published,<p>The program consists of five stages. The minimum length of stay sobriety court is 12 to 15 months.</p>,01/10/2021 10:29:50,,
Sobriety Court,Published,Why participate in Sobriety Court?,Published,<ul><li>Effective substance abuse treatment</li><li>Eligibility for a restricted driver&rsquo;s license</li></ul>,01/10/2021 10:30:02,,
Sobriety Court,Published,How do I get started?,Published,"<p>The program will be a voluntary, post-conviction program. If a participant decides to participate, they will have to plead guilty to their crime and agree to participate in the program and treatment.</p><p>Attorneys or potential participants must fill out an application screening form and submit it to the prosecutor&rsquo;s office for review. If the candidate passes the legal screening, the prosecutor&rsquo;s office will notify the Case Manager, who will then schedule and interview with the potential participant.</p><p><a href=&#34/DocumentCenter/View/1931&#34 rel=&#34noopener&#34 target=&#34_blank&#34>Sobriety Court Referral Form</a></p>",06/29/2021 12:43:53,,
Sobriety Court,Published,Whom should I contact with questions?,Published,<p>Questions may be directed to Specialty Court:</p><ul><li>Phone: 269-657-8200</li><li><a href=&#34mailto:specialtycourts@vbco.org&#34>Email the Specialty Court</a></li></ul>,01/10/2021 10:30:48,,
Services Available,Published,How Do I Schedule a Demand Response or Reservation Ride?,Published,"<p>Call our Scheduling Office at 269-427-7921 or 1-800-828-2015 . Rides are reserved on a first-called/first-served, space available basis.</p><p>Reservations are taken Monday through Friday from 8:00 AM until 7:30 PM. Capacity and schedules are limited, so please call as soon as possible. Rides are scheduled one to 14 days in advance, counting the day you call as day one. You may call on the same day you need service and we will do our best to schedule your ride!</p>",01/19/2023 11:05:16,,
Services Available,Published,When Will I Be Picked Up and Returned Home?,Published,"<p>When scheduling a ride, you will be given a 15-20-minute time frame for your pickup (e.g. pickup time for a 10:00 AM appointment may be between 9:00 AM and 9:20 AM). Pickup times for transit between communities or outside city limits may vary by more than 30 minutes. You may wait in your residence until the driver arrives. He/She will honk the horn and can wait for up to three (3) minutes only, so please be ready. &nbsp;For your return trip, the driver will pick you up within 15 minutes of your requested return time. Should your trip times change, or you wish to cancel, please notify the scheduling office immediately.</p>",07/26/2022 11:14:51,,
Services Available,Published,What are Flex Loop Routes and How Do I Ride?,Published,"<p>A Flex Route, also known as a deviated route, is when a vehicle operates along a fixed route and keeps to a regular hourly schedule, but the vehicle can deviate from the route to pick up or drop off passengers from other locations along the route, when prearranged through the scheduling office. Once a passenger is picked up from the &quot;FLEXED&quot; location the vehicle will return to its regular route and continue on from the place it left, or deviated from, the route. Flexes are arranged time permitting, and may not be available if a driver is already running behind schedule. A vehicle can FLEX up to two blocks away from its regular route, time permitting.</p><p>To be picked up at a location between stops or &quot;Schedule a Flex,&quot; you MUST call the scheduling office. To be dropped off as a FLEX you must notify the driver when boarding the bus the location you need. If you need to be picked back up from a FLEXED stop, you MUST call the scheduling office again to make arrangements. &nbsp;</p><p>The South Haven <strong>METRO FLEX LOOP&nbsp;</strong>operates M-F from 9:00 AM until 5:00 PM. The last loop begins at 4:00 PM and drops off all clients by 5. The METRO LOOP does not operate between 11:00 AM and 12:00 PM. The route schedule is available on the bus and on our website:<span style=&#39color: rgb(20, 20, 12); font-family: &#34Source Sans Pro&#34; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;&#39>&nbsp;</span><a href=&#34https://www.vanburencountymi.gov/DocumentCenter/View/1191&#34 style=&#34box-sizing: inherit; background-color: rgb(255, 255, 255); transition: color 333ms cubic-bezier(0.45, 0.45, 0.45, 1) 0s, background-color 333ms cubic-bezier(0.45, 0.45, 0.45, 1) 0s; color: rgb(0, 0, 0); outline: 0px; user-select: auto; text-decoration: underline; font-family: ;&#34></a><a href=&#34https://www.vanburencountymi.gov/DocumentCenter/View/1972/South-Haven-Metro-Loop&#34>Metro Loop</a><a href=&#34/DocumentCenter/View/1191&#34></a>. You may also request a copy by mail by calling the RIdes line at <strong>269-427-7921</strong> or emailing <a href=&#34mailto:Rides@vanburencountymi.gov&#34>Rides@vanburencountymi.gov</a>.&nbsp;</p><p>The Paw Paw <strong>CONCORD FLEX LOOP&nbsp;</strong>operates M-F from 8:00 AM until 6:00 PM. The last loop begins at 5:00 PM and drops off all clients by 6. The CONCORD LOOP does not operate between 11:00 AM and 12:00 PM. Saturday and Sunday services start at 10:00 AM and the last loop begins at 3:00 PM. There is no service between 1:00 PM and 2:00 PM Saturdays and Sundays. The route schedule is available on the bus and here on our website: <a href=&#34/DocumentCenter/View/1192&#34>Concord Loop</a>. You may also request a copy by mail by calling the Rides line at <strong>269-427-7921</strong> or emailing <a href=&#34mailto:Rides@vanburencountymi.gov&#34>Rides@vanburencountymi.gov</a>.&nbsp;</p><p>When riding our LOOP routes, please remember the buses follow a schedule and therefore DO NOT wait for clients at designated stops. You should be ready to board at the scheduled departure time. If a driver is early, he/she will be on location until the departure time. &nbsp;If they are running behind they will not stop at locations where they do not see anyone waiting to board. &nbsp;We always recommend arriving a 5-10 minutes before the departure time, so that you do not miss the bus. &nbsp;</p>",02/02/2024 10:06:58,,
Services Available,Published,How do I schedule a ride to the Battle Creek VA?,Published,"<p>Call 269-302-0237 to schedule your ride to the VA in Battle Creek. &nbsp;Provide your name, address and contact number as well as the date, time and place of your appointment. The Veteran&apos;s Shuttle runs every Tuesday and Thursday with drop-offs at 9:00 AM and 12:30 PM, and returns at 12:30 PM and 4:00 PM.</p>",07/26/2022 11:17:24,,
Drain Board of Determination,Published,What Is a Board of Determination?,Published,"<p>A Board of Determination is a 3-member panel of disinterested property owners. The role of the Board of Determination is to receive evidence and hear testimony of interested persons and determine whether the petitioned maintenance and improvement is necessary and conducive to the public health, convenience or welfare.</p>",02/24/2021 16:06:55,,
Drain Board of Determination,Published,What is a Drainage District?,Published,<p>A drainage district is the land area that benefits from the drain. The drainage district makes up the watershed that contributes water to the drain. Each property and municipality within the drainage distrcit pays for the construction (or establishment) of the drain and for future maintenance and improvement of the drain.</p>,02/24/2021 16:08:12,,
Drain Board of Determination,Published,Why did I receive a notice?,Published,<p>A petition was filed with the Van Buren County Drain Commissioner requesting maintenance and improvement to be performed on the drain. All property owners with lands in the Drainage District were sent a copy of the notice.</p>,02/24/2021 16:08:55,,
Drain Board of Determination,Published,Does the Board of Determination decide what work gets done?,Published,"<p>No, the Board of Determination decides necessity, but does not determine the scope or cost of the project. Further, the Board of Determination does not determine how much property owners and municipalities will be assessed.&nbsp;</p>",02/24/2021 16:09:54,,
Drain Board of Determination,Published,Does the decision of the Board of Determination have to be unanimous?,Published,"<p>No, only a majority vote of the Board of Determination is required. Only the members of the Board of Determination vote. The attendees at the meeting do not vote, but instead provide testimony to the Board members to assist in their determination.</p>",02/24/2021 16:10:57,,
Drain Board of Determination,Published,What is my assessment amount?,Published,"<p>Estimated assessment amounts are not yet determined. If the Board of Determination finds the project necessary, the Drain Commissioner will hold a public meeting to review apportionments after a project scope has been determined. Notices for the public hearing on assessments will be sent out at a later date.</p>",02/24/2021 16:11:57,,
Drain Board of Determination,Published,Do I have to attend the Board of Determination?,Published,"<p>No, you are not required to attend the Board of Determination, however, it is your right to do so.</p>",02/24/2021 16:12:23,,
Drain Board of Determination,Published,Can the decision of the Board of Determination be appealed?,Published,<p>Appeals are provided under MCL 280.72a and MCL 280.72(3).</p>,02/24/2021 16:12:56,,
Drain Board of Determination,Published,How can I get more information?,Published,<p>Visit the Van Buren County Drain Commissioner&rsquo;s website or call (269) 657-8241</p>,02/24/2021 16:13:29,,
Court - Jury Service,Published,How did we get your name?,Published,"<p>Once a year, the Secretary of State Driver&rsquo;s License Bureau provides us with the names of Van &nbsp; &nbsp; &nbsp;Buren County residents who have a driver&rsquo;s license or state ID. &nbsp;The computer then randomly chooses names and the questionnaires are mailed out.</p>",04/12/2021 13:00:45,,
Court - Jury Service,Published,What if I&#39ve moved out of the County?,Published,<p>You must be a Van Buren County resident to serve as a Van Buren County juror. &nbsp;Please provide the court with your new mailing address along with proof of residency and we will remove you from our mailing list.</p>,04/12/2021 13:01:02,,
Court - Jury Service,Published,What if I&#39m over 70 years old?,Published,"<p>If you are over 70, you have the choice to serve as a juror. &nbsp;If you choose not to serve, please mark &ldquo;yes&rdquo; on question number 8 of your questionnaire and return it to the court.</p>",04/12/2021 13:01:00,,
Court - Jury Service,Published,What if I have changed my name and/or address within Van Buren County?,Published,<p>Provide your corrected name and address on the back side of your questionnaire and we will edit your information in our database.</p>,04/12/2021 13:00:58,,
Court - Jury Service,Published,What if the recipient is away at college?,Published,<p>Complete the form in their absence and include the dates the recipient will be home. &nbsp;We can transfer their service to a more convenient time. &nbsp; They do not need to sign the document.</p>,04/12/2021 13:01:04,,
Court - Jury Service,Published,I am concerned about a medical problem or disability (personal or caregiver) interfering with my ability to serve as a juror.  What should I do?,Published,"<p>We will only excuse you from a jury service if you have a doctor&rsquo;s note. &nbsp;Mail, email, or fax a doctor&rsquo;s note in and we will honor your doctor&rsquo;s request.</p>",04/12/2021 13:00:53,,
Court - Jury Service,Published,My job is too demanding and I do not have time to serve on a jury.  Do I still have to serve?,Published,"<p>Yes. &nbsp;A summons is an official court order compelling you to appear for service. &nbsp; Jury duty, although sometimes inconvenient, is not an optional experience. &nbsp;Jurors should also know that following Michigan law:</p><p><strong><em>600.1348 Jurors; threats, discharge, or discipline by employer; requiring additional hours of work; misdemeanor; penalty.</em></strong></p><p><em>Sec. 1348 (1) An employer or the employer&rsquo;s agent, who threatens to discharge or discipline or who discharges, disciplines, or cause to be discharged from employment or to be disciplined a person because that person is summoned for jury duty, serves on a jury, or has served on a jury, is guilty of a misdemeanor, and may also be punished for contempt of court.</em></p>",04/12/2021 13:00:56,,
Court - Jury Service,Published,What should I wear and what should I bring if I am called to serve?,Published,"<p>Please wear comfortable clothing, but t-shirts, shorts, midriff baring tops, and inappropriate language and content on clothing is not allowed. &nbsp;You may bring snacks, lunch to eat during breaks. &nbsp;Only water is allowed in the courtroom. &nbsp;You may also bring your cell phone, book or magazine to read while you wait but they will need to be powered off and put away while in court.</p>",04/12/2021 13:01:07,,
Court - Jury Service,Published,How long do trials last?  How many days will I be called to serve?,Published,"<p>You will be assigned a two-week term of service. &nbsp;The judges try to seat their juries by noon; therefore, if you are not seated on a case you are normally released by noon. &nbsp;This does vary. &nbsp;If you are chosen as a juror, you should plan to be at the courthouse until 5:00 p.m. &nbsp; The average trial length is one day in District Court and three days in Circuit Court. &nbsp;The judge will inform you of the expected length of the case during jury selection. &nbsp;On average, a panel will serve on one to two trials per term.</p>",04/12/2021 13:02:51,,
Court - Jury Service,Published,Are there breaks during the day in court?,Published,"<p>Yes. &nbsp;The judges typically break at least once mid-morning, an hour for lunch, and at least once in the afternoon.</p>",04/12/2021 13:03:59,,
Court - Jury Service,Published,I do not have a car or transportation.  Do I still have to serve as a juror?,Published,"<p>Yes. &nbsp;You will need to set up rides with a friend, a family member, or Van Buren Public Transit.</p>",04/12/2021 13:04:43,,
Court - Jury Service,Published,How much are jurors paid?,Published,<p>Jurors are paid $30.00 for the first full day; $45.00 each subsequent full day; $15.00 for the first half day; $22.50 for each subsequent half day. &nbsp;Jurors are also compensated for mileage. &nbsp;Jurors will be paid half of the current IRS rate per mile from the juror&rsquo;s home to the courthouse. &nbsp;Jurors will receive a check for the total amount approximately three weeks after the assigned term ends.</p>,04/12/2021 13:06:08,,
Juvenile Court,Published,How do I request a court-appointed attorney in a delinquency case or child protective proceeding?,Published,"<ol><li>Call the Juvenile Court, (269) 657-8237, to ask for a court-appointed attorney. If a Juvenile Court child protective proceeding has been started, give your name if you are accused of abusing or neglecting a child. For a delinquency case, give your name and the name of your alleged delinquent child. If you have the case number, provide that too.</li><li>If the request is approved, an order appointing an attorney will be mailed to you and placed in the file. A copy of the order will also be mailed to all others included as interested parties to the case. The order will include the name of the appointed attorney and the attorney&apos;s contact information. Contact the attorney as soon as you receive the order, and make sure the attorney has your contact information.</li><li>Make sure to contact the court to report any changes in your phone number(s) or address to ensure the court can reach you by phone and by mail.</li><li>If you do not want to wait for the order to arrive in the mail, call the court a few days after your request to ask about the appointment and to request the attorney&apos;s phone number.</li></ol>",07/06/2022 13:42:09,,
Juvenile Court,Published,How do I request a charge of juvenile incorrigibility against my child?,Published,"<p><strong>What does incorrigible child mean?</strong></p><ul><li>Incorrigibility may apply to children from ages 10 through and including age 17 who are found to be &quot;incorrigible&quot; as defined in the Michigan Compiled Laws (MCL).</li><li>As stated in MCL 712A.2(a)(3), incorrigible means that:<ol style=&#34list-style-type: lower-alpha;&#34><li>The juvenile is repeatedly disobedient to the reasonable and lawful commands of his or her parents, legal guardian, or custodian, and</li><li>The court finds on the record by clear and convincing evidence that court-accessed services are necessary.</li></ol></li></ul><p><strong>Is incorrigibility a misdemeanor?</strong></p><ul><li>No. Incorrigibility is a status offense. Status offenses are not misdemeanor or felony charges against a child. Status offenses are prohibited under the law because of the youth&apos;s status as a minor. Status offense behaviors include, but are not limited to:<ol style=&#34list-style-type: lower-alpha;&#34><li>Incorrigibility</li><li>School truancy</li><li>Running away from home</li><li>Curfew Violations</li></ol></li></ul><p><strong>Are there any interventions offered in Van Buren County to get help for my child before asking for an Incorrigible Petition?</strong></p><ul><li>Yes. Van Buren Community Mental Health (VBCMH) offers a Youth Intervention Program. A parent, legal guardian, legal custodian, or youth can contact the agency at (269) 657-5574. The Youth Intervention Screener is a master&apos;s level clinician who will assist the youth in completing a mental health screening. The results of the screening will be shared with the youth, parents, caregivers, or legal guardians. The Youth Intervention Screener will then help link the youth with appropriate services and follow up. The topics addressed in the screening are Substance Use, Trauma, Suicidal Thinking, Anxiety, Depression, Emotional Distress, Anger, Irritability, School Performance, and Behavioral Issues.</li><li>A child whose behavior problems are due to serious mental health issues and/or severe developmental delays will generally not be considered incorrigible because court-accessed services would not be appropriate for these children.</li></ul><p><strong>How can a parent, legal guardian, or custodian ask for an Incorrigible Petition against a child?</strong></p><ol><li>Before seeking a petition, the parent or caretaker should try to find and exhaust other services such as counseling or family therapy, the youth intervention screening described above, and any other supports the family may have.</li><li>All requests for Incorrigible Petitions start at the Prosecuting Attorney&apos;s office. Contact the Prosecuting Attorney&apos;s office at (269) 657-8236 and ask about completing and submitting the Juvenile Incorrigible Information Form.</li><li>The Prosecuting Attorney&apos;s office will review the Juvenile Incorrigible Information Form within two weeks to determine whether an Incorrigible Petition will be submitted to the Juvenile Court.</li><li>If an Incorrigible Petition is submitted by the Prosecutor and is accepted by the Juvenile Court, you will be contacted by Juvenile Court staff for further instructions or you will receive a notice to appear with the child for a hearing.</li></ol><p><strong>Will my child go to detention for being incorrigible?</strong></p><ul><li>No, the court generally does not place a youth in detention for a status offense, including incorrigibility.</li></ul><p><strong>What will I have to do as a parent when an Incorrigible Petition is filed against my child?</strong></p><ul><li>As the child&apos;s parents, legal guardians, or custodians, you must commit to active involvement in the Juvenile Court case if an Incorrigible Petition is accepted by the court. The court strives to provide support for the youth and family to improve the caretaker&apos;s ability to assist the child in changing the behavior that led to the request for the incorrigible Petition.</li><li>You may be required to:<ol style=&#34list-style-type: lower-alpha;&#34><li>Arrange and transport the youth to assessments, court appointments, or other services as directed by the court or caseworkers.</li><li>Participate in therapy or counseling as recommended by the therapists, attend school meetings, or participate in other activities meant to provide supportive services for the youth and the family.</li><li>Pay for or contribute to the cost of any court-ordered services, including, but not limited to:<ol style=&#34list-style-type: lower-roman;&#34><li>Court appointed attorney fees if an attorney is appointed to represent your child.</li><li>Costs or fees involved with any court-directed services, probation or other supervision, or court-ordered family and/or individual counseling or treatment.</li></ol></li></ol></li></ul>",07/07/2022 12:02:01,,
CP - Training,Published,Where is the DMV?,Published,<p>123 ABC St.</p>,10/12/2023 15:26:52,,
CP - Training,Published,Is Jerry awesome?,Published,<p>Of Course!</p>,10/12/2023 15:31:22,,
CP - Training,Published,"What services does Veteran Services provide? ",Published,<p id=&#34isPasted&#34>Relief</p><p>DD 214s</p><p>Services</p><p>ESA Program</p><p>Property Taxes</p><p>Dental</p><p>Horticulture Program</p><p id=&#34isPasted&#34>VA Enrollment&nbsp;</p><p>Claims</p><p>Pensions</p><p>Aid &amp; Attendance</p><p>Burial Benefits</p><p>D.I.C.&nbsp;</p><p>Free Ride to VA/BC</p>,10/12/2023 15:26:54,,
CP - Training,Published,Where u at?,Published,<p>Admin 3rd floor</p>,10/12/2023 15:27:32,,
CP - Training,Published,Where is the DMV?,Published,<p>123 ABC St.</p>,10/12/2023 15:27:22,,
GIS,Published,EASEMENTS: How can I find out about Easements on my property?,Published,"<p id=&#34isPasted&#34>It&#39s important to know about any easements, as they can affect how you use your property and may impact future development plans. To find out about easements on your property, you can take the following steps:</p><ul><li>Check your property deed: Look at your property deed to see if there are any easements mentioned. Easements are often noted on the deed, so this is a good place to start.</li><li>Check your property survey if one has been done: Your property survey will show the exact boundaries of your property and any easements that may exist. It may also show any access rights or restrictions.</li><li>Check with the county Register of Deeds Office to ask if there are any easements on your property. They may have records or maps that can provide this information.</li><li>Check your original Subdivision, Plat or Condo Map: If your property is within a subdivision, plat or condo, the easements are often noted on the original maps.</li><li>Check with utility companies: Utility companies often have easements on private property to allow them to access their infrastructure. You can contact them to ask if there are any easements on your property.</li><li>Check with a title company: You can hire a title company to conduct a title search on your property. This will reveal any easements that exist on your property.</li></ul>",08/05/2024 14:27:45,,
GIS,Published,EASEMENTS: Does the county map Easements?,Published,"<p>Sorry, no, we do not map easements here at the county.</p>",08/05/2024 14:27:23,,
GIS,Published,DATA: Can I acquire the County GIS data and use it in my own GIS at home or work?,Published,"<p>YES, you can! Contact the <a href=&#34https://www.vanburencountymi.gov/550/Geographic-Information-Systems-Departmen&#34>GIS Department</a> today!</p>",08/05/2024 14:28:05,,
